observatory,mjd,plate,exposure,image_type,notes
apo,56696,5570,51,dome_flat,plate observed twice - gang connector unplugged/replugged - use first dome flat for both sets
apo,56698,7348,59,object,failed reduction
apo,56698,7348,60,object,failed reduction
apo,56698,7348,61,object,failed reduction
apo,56698,7348,62,object,failed reduction
apo,56698,7348,63,object,failed reduction
apo,56698,7348,64,object,failed reduction
apo,56698,7348,65,object,failed reduction
apo,56698,7348,66,object,failed reduction
apo,56698,7348,67,object,failed reduction
apo,56698,7348,68,object,failed reduction
apo,56698,7348,69,object,failed reduction
apo,56698,7348,70,object,failed reduction
apo,56698,7348,71,dome_flat,failed reduction
apo,56699,7200,11,object,data problems - bad checksums - cannot uncompress files
apo,56699,7200,12,object,data problems - bad checksums - cannot uncompress files
apo,56699,7200,13,object,data problems - bad checksums - cannot uncompress files
apo,56699,7200,14,object,data problems - bad checksums - cannot uncompress files
apo,56699,7200,15,dome_flat,data problems - bad checksums - cannot uncompress files
apo,56699,5691,20,object,data problems - bad checksums - cannot uncompress files
apo,56699,5691,21,object,data problems - bad checksums - cannot uncompress files
apo,56699,5691,22,object,data problems - bad checksums - cannot uncompress files
apo,56699,5691,23,object,data problems - bad checksums - cannot uncompress files
apo,56699,5691,24,object,data problems - bad checksums - cannot uncompress files
apo,56699,5691,25,object,data problems - bad checksums - cannot uncompress files
apo,56699,5691,26,object,data problems - bad checksums - cannot uncompress files
apo,56699,5691,27,object,data problems - bad checksums - cannot uncompress files
apo,56699,5691,28,dome_flat,data problems - bad checksums - cannot uncompress files
apo,56699,6766,31,object,data problems - bad checksums - cannot uncompress files
apo,56699,6766,32,object,data problems - bad checksums - cannot uncompress files
apo,56699,6766,33,object,data problems - bad checksums - cannot uncompress files
apo,56699,6766,34,object,data problems - bad checksums - cannot uncompress files
apo,56699,6766,35,object,data problems - bad checksums - cannot uncompress files
apo,56699,6766,36,object,data problems - bad checksums - cannot uncompress files
apo,56699,6766,37,object,data problems - bad checksums - cannot uncompress files
apo,56699,6766,38,object,data problems - bad checksums - cannot uncompress files
apo,56699,6766,39,object,data problems - bad checksums - cannot uncompress files
apo,56699,6766,40,object,data problems - bad checksums - cannot uncompress files
apo,56699,6766,41,dome_flat,data problems - bad checksums - cannot uncompress files
apo,56701,5673,88,object,petals not closed for dome flat - use flat from previous plate/cartridge
apo,56701,5673,89,object,petals not closed for dome flat - use flat from previous plate/cartridge
apo,56701,5673,90,object,petals not closed for dome flat - use flat from previous plate/cartridge
apo,56701,5673,91,object,petals not closed for dome flat - use flat from previous plate/cartridge
apo,56701,5673,92,object,petals not closed for dome flat - use flat from previous plate/cartridge
apo,56701,5673,93,object,petals not closed for dome flat - use flat from previous plate/cartridge
apo,56701,5673,94,object,petals not closed for dome flat - use flat from previous plate/cartridge
apo,56701,5673,95,object,petals not closed for dome flat - use flat from previous plate/cartridge
apo,56701,5673,96,object,petals not closed for dome flat - use flat from previous plate/cartridge
apo,56701,5673,97,object,petals not closed for dome flat - use flat from previous plate/cartridge
apo,56701,5673,98,dome_flat,petals not closed for dome flat - use flat from previous plate/cartridge
apo,56726,7201,9,object,first 2 images bad exposures
apo,56726,7201,10,object,first 2 images bad exposures
apo,56726,7201,11,dark,3rd+4th images are darks
apo,56726,7201,12,dark,3rd+4th images are darks
apo,56749,7463,92,object,failed reduction
apo,56749,7463,93,object,failed reduction
apo,56749,7463,94,object,failed reduction
apo,56749,7463,95,object,failed reduction
apo,56749,7463,96,object,failed reduction
apo,56749,7463,97,object,failed reduction
apo,56749,7463,98,object,failed reduction
apo,56749,7463,99,object,failed reduction
apo,56749,7463,100,dome_flat,failed reduction
apo,56754,7463,21,object,failed reduction
apo,56754,7463,22,object,failed reduction
apo,56754,7463,23,object,failed reduction
apo,56754,7463,24,object,failed reduction
apo,56754,7463,25,object,failed reduction
apo,56754,7463,26,object,failed reduction
apo,56754,7463,27,object,failed reduction
apo,56754,7463,28,object,failed reduction
apo,56754,7463,29,object,failed reduction
apo,56754,7463,30,object,failed reduction
apo,56754,7463,31,dome_flat,failed reduction
apo,56783,7440,13,object,apogee-ql not archiving images - had to restart - first 2 exposures lost/aborted
apo,56783,7440,14,object,apogee-ql not archiving images - had to restart - first 2 exposures lost/aborted
apo,57390,8051,18,object,FF petals turned on at end of science exposure - flat taken like dark - removed science frame and used 03 for flat
apo,57390,8051,19,dome_flat,FF petals turned on at end of science exposure - flat taken like dark - removed science frame and used 03 for flat
apo,57412,8794,38,object,FF petals turned on at end of science exposure - flat taken like dark - removed science frame and used 50 for flat
apo,57412,8794,39,dome_flat,FF petals turned on at end of science exposure - flat taken like dark - removed science frame and used 50 for flat
apo,57316,0000,12,quartz_flat,no signal
apo,57316,0000,13,quartz_flat,no signal
apo,57316,0000,14,quartz_flat,no signal
apo,57316,0000,15,quartz_flat,no signal
apo,57316,0000,16,quartz_flat,no signal
apo,57316,0000,17,quartz_flat,no signal
apo,57316,0000,18,quartz_flat,no signal
apo,57346,0000,72,quartz_flat,no signal
apo,57346,0000,73,quartz_flat,no signal
apo,57346,0000,74,quartz_flat,no signal
apo,57346,0000,75,quartz_flat,no signal
apo,57346,0000,76,quartz_flat,no signal
apo,57346,0000,77,quartz_flat,no signal
apo,57346,0000,78,quartz_flat,no signal
apo,57399,0000,52,quartz_flat,no signal
apo,57399,0000,53,quartz_flat,no signal
apo,57399,0000,54,quartz_flat,no signal
apo,57399,0000,55,quartz_flat,no signal
apo,57399,0000,56,quartz_flat,no signal
apo,57399,0000,57,quartz_flat,no signal
apo,57399,0000,58,quartz_flat,no signal
apo,57404,0000,71,quartz_flat,no signal
apo,57404,0000,72,quartz_flat,no signal
apo,57404,0000,73,quartz_flat,no signal
apo,57404,0000,74,quartz_flat,no signal
apo,57404,0000,75,quartz_flat,no signal
apo,57404,0000,76,quartz_flat,no signal
apo,57404,0000,77,quartz_flat,no signal
apo,57512,0000,75,quartz_flat,no signal
apo,57512,0000,76,quartz_flat,no signal
apo,57512,0000,77,quartz_flat,no signal
apo,57512,0000,78,quartz_flat,no signal
apo,57512,0000,79,quartz_flat,no signal
apo,57512,0000,80,quartz_flat,no signal
apo,57512,0000,81,quartz_flat,no signal
